"","Epic","Name","MarketCap (m)","Shares inissue (m)","P/Eratio","DividendYield %"
"1","AAL","Anglo American","18,369","1,402","10.57","2.57"
"2","ABF","Associated British Foods","20,726","792","25.32","1.40"
"3","ADM","Admiral Group","5,175","284","16.96","6.94"
"4","AHT","Ashtead Group","8,741","499","21.54","1.33"
"5","ANTO","Antofagasta","8,257","986","13.57","0.24"
"6","AV.","Aviva","20,594","4,062","22.43","4.24"
"7","AZN","AstraZeneca","59,171","1,265","16.88","4.68"
"8","BA.","BAE Systems","20,281","3,176","22.17","3.34"
"9","BAB","Babcock International Group","4,735","506","16.43","2.80"
"10","BARC","Barclays","39,513","16,965","22.39","1.29"
"11","BATS","British American Tobacco","96,220","1,864","20.63","3.28"
"12","BDEV","Barratt Developments","5,307","1,007","9.56","3.72"
"13","BLND","British Land Co","6,405","1,030","4.74","4.66"
"14","BLT","BHP Billiton","28,587","2,112","-11.28","2.56"
"15","BNZL","Bunzl","7,836","336","32.89","1.68"
"16","BP.","BP","90,499","19,479","761.64","6.33"
"17","BRBY","Burberry Group","7,784","439","25.31","2.11"
"18","BT.A","BT Group","32,713","9,960","10.99","4.40"
"19","CCH","Coca-Cola HBC","7,057","363","20.45","0.00"
"20","CCL","Carnival","9,607","216","11.94","2.38"
"21","CNA","Centrica","12,322","5,489","-15.07","5.36"
"22","CPG","Compass Group","24,566","1,644","24.74","2.12"
"23","CPI","Capita Group (The)","3,769","667","70.98","5.72"
"24","CRDA","Croda International","4,571","131","26.13","2.03"
"25","CRH","CRH","23,766","833","32.03","2.20"
"26","CTEC","Convatec Group","4,750","1,951","0.00","0.00"
"27","DC.","Dixons Carphone","3,573","1,152","22.14","3.23"
"28","DCC","DCC","6,089","89","33.85","1.48"
"29","DGE","Diageo","57,394","2,517","25.48","2.65"
"30","DLG","Direct Line Insurance Group","4,808","1,375","8.61","0.00"
"31","EXPN","Experian","15,271","943","20.60","1.60"
"32","EZJ","easyJet","3,805","397","8.84","5.62"
"33","FRES","Fresnillo","10,854","737","153.44","0.52"
"34","GKN","GKN","6,359","1,715","31.43","2.36"
"35","GLEN","Glencore","48,618","14,395","-9.13","0.00"
"36","GSK","GlaxoSmithKline","81,832","4,910","88.64","4.80"
"37","HIK","Hikma Pharmaceuticals","5,212","240","17.16","0.94"
"38","HL.","Hargreaves Lansdown","6,332","474","35.70","2.61"
"39","HMSO","Hammerson","4,680","793","6.36","3.88"
"40","HSBA","HSBC Holdings","131,596","19,867","94.63","4.94"
"41","IAG","International Consolidated Airlines Group","11,663","2,120","5.91","4.27"
"42","IHG","InterContinental Hotels Group","7,630","198","7.43","1.63"
"43","III","3i Group","6,907","973","9.61","3.38"
"44","IMB","Imperial Brands","36,781","959","58.04","4.05"
"45","INF","Informa","5,583","824","25.66","3.00"
"46","INTU","Intu Properties","3,873","1,355","7.27","4.79"
"47","ITRK","Intertek Group","5,781","161","-15.98","1.53"
"48","ITV","ITV","8,522","4,025","17.07","3.07"
"49","JMAT","Johnson Matthey","5,972","194","18.57","2.35"
"50","KGF","Kingfisher","7,428","2,240","18.63","3.07"
"51","LAND","Land Securities Group","8,445","791","6.31","3.43"
"52","LGEN","Legal & General Group","14,988","5,955","13.86","5.54"
"53","LLOY","Lloyds Banking Group  ORD","49,134","71,374","23.74","3.70"
"54","LSE","London Stock Exchange Group","11,003","350","33.20","1.18"
"55","MCRO","Micro Focus International","4,987","229","29.18","2.34"
"56","MDC","Mediclinic International","5,489","737","25.15","0.00"
"57","MERL","Merlin Entertainments","5,052","1,016","29.60","0.00"
"58","MKS","Marks & Spencer Group","5,488","1,625","13.57","5.54"
"59","MNDI","Mondi","9,255","486","15.37","2.43"
"60","MRW","Morrison (Wm) Supermarkets","5,708","2,336","25.70","2.08"
"61","NG.","National Grid","36,513","3,753","14.10","4.47"
"62","NXT","Next","5,887","147","8.89","3.95"
"63","OML","Old Mutual Group","10,797","4,930","17.24","4.07"
"64","PFG","Provident Financial","4,362","148","19.45","4.17"
"65","PPB","Paddy Power Betfair","7,480","84","27.26","2.02"
"66","PRU","Prudential","42,538","2,581","16.32","2.39"
"67","PSN","Persimmon","6,633","309","12.63","0.00"
"68","PSON","Pearson","5,610","823","-2.38","7.63"
"69","RB.","Reckitt Benckiser Group","51,463","700","28.25","2.08"
"70","RBS","Royal Bank of Scotland Group (The)","28,837","11,823","-4.10","0.00"
"71","RDSA","Royal Dutch Shell","94,048","4,429","36.61","5.68"
"72","RDSB","Royal Dutch Shell","83,431","3,745","71.86","5.41"
"73","REL","RELX","16,452","1,082","32.76","2.14"
"74","RIO","Rio Tinto","46,830","1,375","13.26","3.95"
"75","RMG","Royal Mail","4,070","1,000","9.86","0.00"
"76","RR.","Rolls-Royce Group","14,389","1,839","-3.52","1.50"
"77","RRS","Randgold Resources","6,961","94","28.13","0.86"
"78","RSA","RSA Insurance Group","6,153","1,020","27.06","1.99"
"79","SBRY","Sainsbury (J)","5,870","2,187","11.23","4.36"
"80","SDR","Schroders","7,065","226","18.27","2.78"
"81","SGE","Sage Group (The)","7,081","1,080","34.00","2.16"
"82","SHP","Shire","44,778","905","115.12","0.31"
"83","SKG","Smurfit Kappa Group","5,167","236","11.54","3.64"
"84","SKY","Sky","17,164","1,719","35.28","1.26"
"85","SL.","Standard Life","7,350","1,979","19.86","5.34"
"86","SMIN","Smiths Group","6,078","395","23.43","2.73"
"87","SN.","Smith & Nephew","10,723","876","13.89","1.61"
"88","SSE","SSE","15,485","1,012","33.19","5.88"
"89","STAN","Standard Chartered","24,584","3,284","-8.15","1.50"
"90","STJ","St James's Place","5,676","528","27.66","2.75"
"91","SVT","Severn Trent","5,490","236","16.66","3.48"
"92","TSCO","Tesco","15,544","8,175","111.85","5.88"
"93","TUI","TUI AG","6,722","587","17.89","4.89"
"94","TW.","Taylor Wimpey","6,074","3,271","12.30","0.92"
"95","ULVR","Unilever","49,599","1,283","21.12","2.82"
"96","UU.","United Utilities Group","6,638","682","16.70","3.96"
"97","VOD","Vodafone Group","53,917","26,619","-13.43","5.65"
"98","WOS","Wolseley","12,873","253","19.85","1.97"
"99","WPG","Worldpay Group","5,470","2,000","0.00","0.00"
"100","WPP","WPP Group","24,605","1,281","21.34","2.52"
"101","WTB","Whitbread","7,076","183","17.91","2.38"
