"","Epic","Name","Price (p)","TodayChg (%)","7 DayChg (%)","30 DaysChg (%)","6 MonthChg (%)"
"1","AAL","Anglo American","1,272.50","-0.35","1.60","-4.47","57.49"
"2","ABF","Associated British Foods","2,596.00","0.35","-0.57","7.85","-17.72"
"3","ADM","Admiral Group","1,813.00","-0.11","-3.05","-1.20","-13.09"
"4","AHT","Ashtead Group","1,721.00","-0.23","5.26","6.10","34.03"
"5","ANTO","Antofagasta","820.00","-0.61","1.55","0.86","61.90"
"6","AV.","Aviva","508.75","0.74","1.04","3.17","16.71"
"7","AZN","AstraZeneca","4,780.50","0.71","3.72","9.69","-3.20"
"8","BA.","BAE Systems","643.50","-1.08","4.63","10.28","17.43"
"9","BAB","Babcock International Group","921.50","-1.23","4.24","3.77","-15.46"
"10","BARC","Barclays","231.40","0.83","2.43","1.11","32.76"
"11","BATS","British American Tobacco","5,108.00","-0.91","0.75","2.92","4.97"
"12","BDEV","Barratt Developments","522.50","-0.67","1.75","4.19","3.88"
"13","BLND","British Land Co","623.50","0.40","1.38","6.40","-6.59"
"14","BLT","BHP Billiton","1,362.75","1.24","4.19","-2.49","36.89"
"15","BNZL","Bunzl","2,307.00","-0.99","6.26","8.36","-3.75"
"16","BP.","BP","464.03","-0.18","3.79","-3.04","7.66"
"17","BRBY","Burberry Group","1,752.00","-0.90","5.48","6.70","32.03"
"18","BT.A","BT Group","333.00","-0.48","0.03","8.31","-15.39"
"19","CCH","Coca-Cola HBC","1,942.00","-0.36","0.31","8.19","14.57"
"20","CCL","Carnival","4,412.50","-0.91","1.53","2.90","25.53"
"21","CNA","Centrica","227.70","0.22","0.89","0.40","-3.48"
"22","CPG","Compass Group","1,499.00","-0.79","2.18","3.81","1.22"
"23","CPI","Capita Group (The)","512.00","-0.29","-8.08","5.35","-51.05"
"24","CRDA","Croda International","3,557.00","-1.06","7.46","5.89","6.08"
"25","CRH","CRH","2,885.00","1.58","8.17","1.26","13.72"
"26","CTEC","Convatec Group","251.10","-1.80","8.37","1.45","13.72"
"27","DC.","Dixons Carphone","297.80","-0.40","-0.93","-2.23","-21.36"
"28","DCC","DCC","7,012.50","0.32","3.05","9.23","0.39"
"29","DGE","Diageo","2,264.00","-0.88","-0.33","2.30","5.47"
