"","Epic","Name","Price (p)","Change","%Change","30 day%","MarketCap (m)"
"1","AAL","Anglo American","1,272.50","-4.50","-0.35","-7.62","18,369.40"
"2","ABF","Associated British Foods","2,596.00","9.00","0.35","9.26","20,726.03"
"3","ADM","Admiral Group","1,813.00","-2.00","-0.11","1.12","5,175.21"
"4","AHT","Ashtead Group","1,721.00","-4.00","-0.23","6.30","8,741.44"
"5","ANTO","Antofagasta","820.00","-5.00","-0.61","-2.44","8,256.55"
"6","AV.","Aviva","508.75","3.75","0.74","5.90","20,593.96"
"7","AZN","AstraZeneca","4,780.50","33.50","0.71","11.89","59,170.74"
"8","BA.","BAE Systems","643.50","-7.00","-1.08","10.28","20,281.30"
"9","BAB","Babcock International Group","921.50","-11.50","-1.23","3.48","4,734.91"
"10","BARC","Barclays","231.40","1.90","0.83","4.54","39,512.57"
"11","BATS","British American Tobacco","5,108.00","-47.00","-0.91","4.03","96,220.34"
"12","BDEV","Barratt Developments","522.50","-3.50","-0.67","5.98","5,306.65"
"13","BLND","British Land Co","623.50","2.50","0.40","7.41","6,405.11"
"14","BLT","BHP Billiton","1,362.75","16.75","1.24","-4.90","28,586.89"
"15","BNZL","Bunzl","2,307.00","-23.00","-0.99","8.72","7,836.46"
"16","BP.","BP","464.03","-0.82","-0.18","-1.83","90,499.30"
"17","BRBY","Burberry Group","1,752.00","-16.00","-0.90","7.03","7,784.11"
"18","BT.A","BT Group","333.00","-1.60","-0.48","9.11","32,713.10"
"19","CCH","Coca-Cola HBC","1,942.00","-7.00","-0.36","8.49","7,056.89"
"20","CCL","Carnival","4,412.50","-40.50","-0.91","3.39","9,606.77"
"21","CNA","Centrica","227.70","0.50","0.22","0.98","12,322.45"
"22","CPG","Compass Group","1,499.00","-12.00","-0.79","4.17","24,566.39"
"23","CPI","Capita Group (The)","512.00","-1.50","-0.29","5.16","3,769.35"
"24","CRDA","Croda International","3,557.00","-38.00","-1.06","6.43","4,571.36"
"25","CRH","CRH","2,885.00","45.00","1.58","1.76","23,765.78"
"26","CTEC","Convatec Group","251.10","-4.60","-1.80","2.07","4,749.88"
